Area_Code,CE_ID
100001,100001
100002,100002
100003,100003
100004,100004
100005,100005
100006,100006
100007,100007
100008,100008
100009,100009
100010,100010
100011,100011
100012,100011
100013,100013
100014,100014
100015,100015
100016,100016
100017,100017
100018,100017
100019,100019
100020,100020
100021,100019
100022,100022
100023,100023
100024,100015
100025,100025
100026,100025
100027,100023
100028,100028
100029,100029
100030,100030
100031,100031
100032,100032
100033,100032
100034,100034
100035,100034
100036,100036
100037,100034
100038,100038
100039,100032
100040,100040
100041,100030
100042,100042
100043,100043
100044,100044
100045,100045
100046,100046
100047,100047
100048,100048
100049,100049
100050,100050
100051,100050
100052,100052
100053,100053
100054,100054
100055,100055
100056,100056
100057,100056
100058,100055
100059,100055
100060,100060
100061,100061
100062,100061
100063,100063
100064,100064
100065,100065
100066,100065
100067,100065
100068,100068
100069,100065
100070,100068
100071,100071
100072,100072
100073,100072
100074,100074
100075,100075
100076,100076
100077,100077
100078,100074
100001,100080
100002,100081
100004,100083
100005,100084
100009,100088
100010,100089
100015,100094
100016,100095
100017,100096
100018,100097
100020,100099
100022,100101
100023,100102
100009,100167
